(GVP) Volcano number,Volcano Name,Country,Volcano Latitude,Volcano Longitude,Volcano Elevation,Volcano Type,Population VPI5,Population VPI 10,Population VPI30,Population VPI100,Island of radius <=~5 km?,Eruption Number,Eruption VEI,Eruption start year,Date of fatal incident,Year (Eruption start year if date not specified),Century,Incident number (XXXXX-X.X = eruption number-incident number.su,Incident number extension (-X.X = Incident number.Sub-incident ,Incident / sub-incident:   Fatalities separated into multiple i,Fatality information (existing fatality information from databa,Additional fatality information and notes on distance determina,Qualitative Number of fatalities,Number of fatalities,Fatal cause  ,"Victim classification:  (Emerg) = armed forces, emergency servi",Were fatalities clustered? (eg. All in one collapsed building?),Did fatality or fatal injury occur inside or outside?,Google Earth flag number (representing approximate location of ,Quality level,QL 1 distance (km),QL2 (max. km),QL2 range (km),Distance from eruptive vent if known to be different to summit,"References (new, [legacy])"
211020,Vesuvius,Italy,40.821,14.426,1281,Somma,19162,675705,3907941,6009961,N,13360,4,1875,,1875,1800s,13360-1.0,1.0,One incident,One guide killed on rim and another injured by explosion.,Distance based on description of crater rim. ,,1,Eruption (unknown element),(tour) Tour guide,,Outside,9,QL 2,,1.0,<1,,[NAZZARO 1986 (25)]
211020,Vesuvius,Italy,40.821,14.426,1281,Somma,19162,675705,3907941,6009961,N,13360,4,1875,1906,1906,1900s,13360-1.1,1.1,"One incident, different distances","Nazarro suggests a total of 216 fatalities. Delme-Radcliffe indicates ~300 killed and 300 injured: 105 killed and 90 injured in fall of church roof in San Giuseppe, ~90 killed in collapse of house roofs thereabouts, ~90 killed in Ottaviano, ~20 killed in San Gennaro, and about 50 others elsewhere including 14 killed in the collapse of the Monte Oliveto Market in Naples. Lacroix indicates 3 deaths in a lava flow.  Witham lists 218-700 fatalities.",Distance centre of named towns. Approx min distance 5 - max 7 km,,195,Tephra,,"Yes, collapse of church",Inside - roof collapse,10-1,QL 1,6.8,,,,"[DELME-RADCLIFFE, 1906 (5]"
211020,Vesuvius,Italy,40.821,14.426,1281,Somma,19162,675705,3907941,6009961,N,13360,4,1875,1906,1906,1900s,13360-1.2,1.2,"One incident, different distances","Nazarro suggests a total of 216 fatalities. Delme-Radcliffe indicates ~300 killed and 300 injured: 105 killed and 90 injured in fall of church roof in San Giuseppe, ~90 killed in collapse of house roofs thereabouts, ~90 killed in Ottaviano, ~20 killed in San Gennaro, and about 50 others elsewhere including 14 killed in the collapse of the Monte Oliveto Market in Naples. Lacroix indicates 3 deaths in a lava flow.  Witham lists 218-700 fatalities.",Distance centre of named towns. Approx min distance 4.5 - max 6.5km.,,90,Tephra,,,Inside - roof collapse,10-2,QL 1,5.5,,,,"[DELME-RADCLIFFE, 1906 (5]"
211020,Vesuvius,Italy,40.821,14.426,1281,Somma,19162,675705,3907941,6009961,N,13360,4,1875,1906,1906,1900s,13360-1.3,1.3,"One incident, different distances","Nazarro suggests a total of 216 fatalities. Delme-Radcliffe indicates ~300 killed and 300 injured: 105 killed and 90 injured in fall of church roof in San Giuseppe, ~90 killed in collapse of house roofs thereabouts, ~90 killed in Ottaviano, ~20 killed in San Gennaro, and about 50 others elsewhere including 14 killed in the collapse of the Monte Oliveto Market in Naples. Lacroix indicates 3 deaths in a lava flow.  Witham lists 218-700 fatalities.",Distance centre of named towns. Approx min distance 8.9 - max 11 km.,,20,Tephra,,,Inside - roof collapse,10-3,QL 1,9.8,,,,"[DELME-RADCLIFFE, 1906 (5]"
211020,Vesuvius,Italy,40.821,14.426,1281,Somma,19162,675705,3907941,6009961,N,13360,4,1875,1906,1906,1900s,13360-1.4,1.4,"One incident, different distances","Nazarro suggests a total of 216 fatalities. Delme-Radcliffe indicates ~300 killed and 300 injured: 105 killed and 90 injured in fall of church roof in San Giuseppe, ~90 killed in collapse of house roofs thereabouts, ~90 killed in Ottaviano, ~20 killed in San Gennaro, and about 50 others elsewhere including 14 killed in the collapse of the Monte Oliveto Market in Naples. Lacroix indicates 3 deaths in a lava flow.  Witham lists 218-700 fatalities.",Distance centre of named towns and approximate market location,,50,Tephra,,"Yes, collapse of market",Inside - roof collapse,10-4,QL 1,14.0,,,,"[DELME-RADCLIFFE, 1906 (5]"
211020,Vesuvius,Italy,40.821,14.426,1281,Somma,19162,675705,3907941,6009961,N,13361,3,1913,,1913,1900s,13361-1.1,1.1,"One incident, different distances","Roof collapses under tephra loads caused 12 deaths at Nocera and 9 at Pagani. Trees falling under tephra load or falling fragments at Terzigno killed 3. Two small boys were killed at San Sebastiano when lava exploded upon reaching a water tank. One elderly man killed himself, in sorrow at the desolation of San Sabastiano.",Distance to centre of town. Approx min distance 19 - max 24km. ,,12,Tephra,,,Inside - roof collapse,11-1,QL 1,20.0,,,,[KEESINGS 25/3/44 (6358)]
211020,Vesuvius,Italy,40.821,14.426,1281,Somma,19162,675705,3907941,6009961,N,13361,3,1913,,1913,1900s,13361-1.2,1.2,"One incident, different distances","Roof collapses under tephra loads caused 12 deaths at Nocera and 9 at Pagani. Trees falling under tephra load or falling fragments at Terzigno killed 3. Two small boys were killed at San Sebastiano when lava exploded upon reaching a water tank. One elderly man killed himself, in sorrow at the desolation of San Sabastiano.",Distance to centre of town. Approx min distance 17 to max 19 km. ,,9,Tephra,,,Inside - roof collapse,11-2,QL 1,18.0,,,,[KEESINGS 25/3/44 (6358)]
211020,Vesuvius,Italy,40.821,14.426,1281,Somma,19162,675705,3907941,6009961,N,13361,3,1913,,1913,1900s,13361-1.3,1.3,"One incident, different distances","Roof collapses under tephra loads caused 12 deaths at Nocera and 9 at Pagani. Trees falling under tephra load or falling fragments at Terzigno killed 3. Two small boys were killed at San Sebastiano when lava exploded upon reaching a water tank. One elderly man killed himself, in sorrow at the desolation of San Sabastiano.",Distance to centre of town. Approx min distance 5 - max 8 km.,,3,Tephra,,,Outside - tree fall,11-3,QL 1,6.6,,,,[KEESINGS 25/3/44 (6358)]
211020,Vesuvius,Italy,40.821,14.426,1281,Somma,19162,675705,3907941,6009961,N,13361,3,1913,,1913,1900s,13361-2.0,2.0,Multiple incidents separated due to different fatal cause,"Roof collapses under tephra loads caused 12 deaths at Nocera and 9 at Pagani. Trees falling under tephra load or falling fragments at Terzigno killed 3. Two small boys were killed at San Sebastiano when lava exploded upon reaching a water tank. One elderly man killed himself, in sorrow at the desolation of San Sabastiano.",Distance centre of San Sebastiano. Approx min distance 4.3 - max 6 km.,,3,Lava flows,,,Outside?,11-4,QL 1,5.6,,,,[KEESINGS 25/3/44 (6358)]
211040,Stromboli,Italy,38.789,15.213,924,Stratovolcano,2225,2225,3894,1347563,Y,13430,3,1910,,1910,1900s,13430-1.1,1.1,"One incident, different distances","Blocks of 30-60 tons fell on houses in S. Vicenzo (8 destroyed) & Ginostra (2 destroyed); 4 killed, several injured.",Distance to San Vincenzo centre(google earth location of San Vincenzo is steep gully). Approx min distance 1.9 - max 3.1 km. ,?2,2,Ballistics,Residents,,Inside - roof collapse,12-1,QL 1,2.5,,,,[Barberi et al. (1993)]
211040,Stromboli,Italy,38.789,15.213,924,Stratovolcano,2225,2225,3894,1347563,Y,13430,3,1910,,1910,1900s,13430-1.2,1.2,"One incident, different distances","Blocks of 30-60 tons fell on houses in S. Vicenzo (8 destroyed) & Ginostra (2 destroyed); 4 killed, several injured.",Distance to Ginostra centre (moved point as google earth puts centre outside of town). Approx min distance 1.7 to max 2km. ,?2,2,Ballistics,Residents,,Inside - roof collapse,12-2,QL 1,1.8,,,,[Barberi et al. (1993)]
211040,Stromboli,Italy,38.789,15.213,924,Stratovolcano,2225,2225,3894,1347563,Y,13430,3,1910,,1910,1900s,13430-2.0,2.0,Multiple incidents separated due to different fatal cause,"Three people killed by pyroclastic flows, and a fourth died after being scalded in the sea near the point where the flows reached the coast.  One person died from a tsunami and another from a falling block.",Unknown location. Island is <5km across.,,4,PDCs,,,Outside,,QL 2,,3.0,<3,,[Barberi et al. (1993)]
211040,Stromboli,Italy,38.789,15.213,924,Stratovolcano,2225,2225,3894,1347563,Y,13430,3,1910,,1910,1900s,13430-3.0,3.0,Multiple incidents separated due to different fatal cause,"Three people killed by pyroclastic flows, and a fourth died after being scalded in the sea near the point where the flows reached the coast.  One person died from a tsunami and another from a falling block.",Unknown location. Island is <5km across.,,1,Tsunami,,,Outside,,QL 2,,3.0,<3,,[Barberi et al. (1993)]
211040,Stromboli,Italy,38.789,15.213,924,Stratovolcano,2225,2225,3894,1347563,Y,13430,3,1910,,1910,1900s,13430-4.0,4.0,Multiple incidents separated due to different fatal cause,"Three people killed by pyroclastic flows, and a fourth died after being scalded in the sea near the point where the flows reached the coast.  One person died from a tsunami and another from a falling block.",Unknown location. Island is <5km across.,,1,Ballistics,,,Outside,,QL 2,,3.0,<3,,[Barberi et al. (1993)]
211040,Stromboli,Italy,38.789,15.213,924,Stratovolcano,2225,2225,3894,1347563,Y,13435,2,1934,1986,1986,1900s,13435-1.0,1.0,One incident,A biologist was hit on the head by a falling block and died instantly ~15 m from W edge of crater rim.,Distance based on description of crater rim. ,,1,Ballistics,(tour) Tourist,,Ouside,14,QL 2,,1.0,<1,,"Global Volcanism Program, 1986. Report on Stromboli (Italy). In: McClelland, L (ed.), Scientific Event Alert Network Bulletin, 11:9. Smithsonian Institution. http://dx.doi.org/10.5479/si.GVP.SEAN198609-211040.,[SEAN Bull. 11:9 (1986)]"
263250,Merapi,Indonesia,-7.542,110.442,2968,Stratovolcano,49205,185849,4348473,24728414,N,15917,2,1986,,1986,1900s,15917-1.0,1.0,One incident,Driver of stalled truck swept away by rain-induced lahar.,Unknown,,1,Lahars,,,,,QL 3,,,,,
211040,Stromboli,Italy,38.789,15.213,924,Stratovolcano,2225,2225,3894,1347563,Y,13435,2,1934,2001,2001,2000s,13435-2.0,2.0,One incident,Ejecta from a stronger than normal explosion impacted a tourist group at Pizzo Sopra la Fossa.  One seriously injured woman fell into a coma and died two days later after being hospitalized.,Distance based on description. Pizzo sopra la Fossa is on the crater rim. ,,1,Ballistics,(tour) Tourist,,Outside,15,QL 2,,1.0,<1,,[Behncke website]
211050,Vulcano,Italy,38.404,14.962,500,Stratovolcano(es),2259,23059,86766,2093800,Y,,,,1980s,1985,1900s,211050-1.0,1.0,Uncertain,,"Two children are described as being asphyxiated by volcanic carbon dioxide (quiescent) on the island of Vulcano in the 1980s. Uncertain of location or if the two children died together as one incident, or separately  as two incidents. Cannot access earliest references ([Baubron et al., 1990; Badalamenti et al., 1991). Information from Granieri et al (2014).",,2,Non-eruptive: gas,Children,,,,QL 3,,,,,Granieri et al. (2014)
211060,Etna,Italy,37.734,15.004,3330,Stratovolcano(es),78,3291,1016540,3052770,N,13665,3,1536,,1536,1500s,13665-1.0,1.0,One incident,A physician of Lentini approached too closely (to a newly active crater?) and was killed by a volley of red-hot stones.,"Distance based on description of approaching crater. INGV describes ""Eruption from a fissure between 1550 and 1410 m elevation on the south flank, north of Monte Manfrè. The eruption causes damage, and one man is reportedly killed near the eruptive vents. """,,1,Ballistics,(tour) Tourist,,Outside,16,QL 2,,1.0,<1,,"http://www.ct.ingv.it/en/11-notizie/news/561-etna-eruptions-pre1900.html,[RODWELL, 1878(87-8).]"
211060,Etna,Italy,37.734,15.004,3330,Stratovolcano(es),78,3291,1016540,3052770,N,13696,1,1689,,1689,1600s,13696-1.0,1.0,One incident,A lava flow killed two persons and injured 5 on March 19 in the forest close to Mt. Cagliato.,Located based on Mount Cagliato webcam of the INGV and the map of this. ,,2,Lava flows,(tour) Tourists?,Group,Outside,17,QL 1,8.3,,,,"http://www.ct.ingv.it/it/webcam-etna.html,[Branca (2005)]"
211060,Etna,Italy,37.734,15.004,3330,Stratovolcano(es),78,3291,1016540,3052770,N,13736,2,1832,,1832,1800s,13736-1.0,1.0,One incident,Explosion at front of lava flow moving over ice killed several people.,"Location based on described by INGV of lava on western flank, close to Bronte ""1 October to 22 November 1832. Eruption on the western flank, lava flow comes close to the town of Bronte and causes damage to cultivated areas. Possibly several people killed in this eruption, but this is mentioned only in one source""",Several,5,Lava flows,,Group,Outside,18,QL 2,,14.0,<14,,"http://www.ct.ingv.it/en/11-notizie/news/561-etna-eruptions-pre1900.html),[GUEST ET. AL,1980]"
211060,Etna,Italy,37.734,15.004,3330,Stratovolcano(es),78,3291,1016540,3052770,N,13739,2,1843,,1843,1800s,13739-1.0,1.0,One incident,"Near the end of the year, while many of the inhabitants of Bronte were watching the lava's progress, the flow front was suddenly blown out by an explosion (the lava may have entered a cistern). 36 were killed on the spot and 20 survived but a few hours.  Branca and Carlo list 59 fatalities and a November 25 rather than November 24 date.","Although the location of the fatalities cannot be found, the description is such that allows an approximation. Locals outside of Bronte, with lavas near the end of their full extension. See Gesualdo de Luca (1883).",56-59,58,Lava flows,Residents,Group,Outside,19,QL 2,,12.0,<12,,"Gesualdo de Luca (1883),[Branca (2005); RODWELL, 1878(104).]"
211060,Etna,Italy,37.734,15.004,3330,Stratovolcano(es),78,3291,1016540,3052770,N,13513,1,1928,,1928,1900s,13513-1.0,1.0,One incident,Three men who had returned to their homes in Mascali to rescue household goods were surrounded by lava flows and killed. On the same day in the same town an aged couple were also engulfed in their home.,Distance based on centre of Mascali though no obvious recent lava flow here. Approx min distance 17 - max 18.5 km.,,5,Lava flows,Residents,,Inside,20,QL 1,17.0,,,,[Volcano Letter 204 (1)]
211060,Etna,Italy,37.734,15.004,3330,Stratovolcano(es),78,3291,1016540,3052770,N,13514,1,1929,,1929,1900s,13514-1.0,1.0,One incident,An explosion from the NE Crater killed two persons.,"The description and knowledge of activity would suggest that these deaths occurred in close proximity to the vent, however this is not explicitly described.",,2,Eruption (unknown element),,Group,,,QL 3,,,,,[Tanguy et al. (2007)]
211060,Etna,Italy,37.734,15.004,3330,Stratovolcano(es),78,3291,1016540,3052770,N,13805,2,1979,,1979,1900s,13805-1.0,1.0,One incident,"Nine killed and 20 or 23 seriously injured by non-juvenile bombs ejected by violent phreatic explosion of Bocca Nuova vent. 150-200 tourists in area at time. A vehicle used for emergency accommodation was hit by a bomb, causing a gas cylinder to explode, destroying vehicle and burning several nearby tourists.","Distance based on description. SI bulletin 09/1979 SEAN 04:09 describes ""explosion from Bocca Nuova killed nine persons and injured 23 at 1747 on 12 September. Some of the 150 tourists in the area at the time of the explosion were on the crater rim, and others were at a parking lot 400 m to the NW"".",,9,Ballistics, ,Yes - tourist group,Outside,22,QL 1,0.4,,,,"Global Volcanism Program, 1979. Report on Etna (Italy). In: Squires, D (ed.), Scientific Event Alert Network Bulletin, 4:9. Smithsonian Institution. http://dx.doi.org/10.5479/si.GVP.SEAN197909-211060.,[GUEST ET AL,1980]"
211060,Etna,Italy,37.734,15.004,3330,Stratovolcano(es),78,3291,1016540,3052770,N,13813,3,1984,,1984,1900s,13813-1.0,1.0,One incident,,"Distance from SI Bulletin 10/1984 SEAN 09:10 describes seismic swarm with earthquake ""centered near Zafferana Etnea (11.5 km SE of the summit): 1 person was killed""",,1,Seismicity,,,,,QL 1,11.5,,,,"Global Volcanism Program, 1984. Report on Etna (Italy). In: McClelland, L (ed.), Scientific Event Alert Network Bulletin, 9:10. Smithsonian Institution. http://dx.doi.org/10.5479/si.GVP.SEAN198410-211060.,[Witham (2005)]"
211060,Etna,Italy,37.734,15.004,3330,Stratovolcano(es),78,3291,1016540,3052770,N,13815,1,1985,,1985,1900s,13815-1.0,1.0,One incident,A strong earthquake and fracturing of the ground caused one death at Piano Provenzana,Distance from approximate location of Piano Provenzana,,1,Seismicity - uncertain eruptive,,,,23,QL 1,5.0,,,,[Behncke et al. (2005)]
211060,Etna,Italy,37.734,15.004,3330,Stratovolcano(es),78,3291,1016540,3052770,N,13818,2,1987,,1987,1900s,13818-1.0,1.0,One incident,Phreatic explosion killed 2 tourists and injured 7 out of about 30 gathered ~500 m SSE of SE crater.,Distance based on description of 550m from crater. Google earth flag is approximate.,,2,Tephra,(tour) Tourists,Yes - tourist group,Outside,24,QL 1,0.5,,,,"[SEAN BULL 12:4, 1987]"
233010,Karthala,Comoros,-11.75,43.38,2361,Shield,225379,225379,278330,399067,N,14206,3,2005,,2005,2000s,14206-1.0,1.0,One incident,"One infant died, apparently as a result of ashfall, during the eruption.",Unknown location,,1,Tephra,,,,,QL 3,,,,,[GVN 30:11 (2005)]
212040,Santorini,Greece,36.404,25.396,367,Shield(s),5176,12266,12336,67468,N,13885,4,1650,30 September 1650 / 2 October 1650,1650,1600s,13885-1.0,1.0,Multiple incidents separated due to different date and fatal cause,"Some died of opthalmias caused by sulfurous vapor; others (~50?) were suffocated by vapors on Sept 30. The crew of a ship passing too near the volcano was suffocated on Oct 2. Others (~20 laborers) were killed by a shower of black dust on Nov 4. Fytikas attributes 50 deaths to a tsunami, and does not mention other fatalities.","Location of fatalities unknown, but island is <20 km across.",>50,50,Gas,Inc. ship crew,Some on ship,,,QL 2,,10.0,<10,,[Fouque 1879]
212040,Santorini,Greece,36.404,25.396,367,Shield(s),5176,12266,12336,67468,N,13885,4,1650,4 November 1650,1650,1600s,13885-2.0,2.0,Multiple incidents separated due to different date and fatal cause,"Some died of opthalmias caused by sulfurous vapor; others (~50?) were suffocated by vapors on Sept 30. The crew of a ship passing too near the volcano was suffocated on Oct 2. Others (~20 laborers) were killed by a shower of black dust on Nov 4. Fytikas attributes 50 deaths to a tsunami, and does not mention other fatalities.","Location of fatalities unknown, but island is <20 km across.",~20,20,Tephra,Labourers,Group,Outside,,QL 2,,10.0,<10,,[Fouque 1879]
212040,Santorini,Greece,36.404,25.396,367,Shield(s),5176,12266,12336,67468,N,13885,4,1650,,1650,1600s,13885-3.0,3.0,Multiple incidents separated due to different date and fatal cause,"Some died of opthalmias caused by sulfurous vapor; others (~50?) were suffocated by vapors on Sept 30. The crew of a ship passing too near the volcano was suffocated on Oct 2. Others (~20 laborers) were killed by a shower of black dust on Nov 4. Fytikas attributes 50 deaths to a tsunami, and does not mention other fatalities.","Location of fatalities unknown, but island is <20 km across.",?50,50,Tsunami,,,Outside?,,QL 2,,10.0,<10,,[Fouque 1879]
212040,Santorini,Greece,36.404,25.396,367,Shield(s),5176,12266,12336,67468,N,13887,2,1866,,1866,1800s,13887-1.0,1.0,One incident,"The captain of a ship loading materials at a dock on Micra Kameni island was killed by an ejected block, and others were injured.","Exact location unknown, but based on location of activity and description of at a port on the island the distance is constrained.",,1,Ballistics,Ship captain,,Outside,26,QL 2,,2.0,<2,,[Fouque 1879]
213040,Ararat,Turkey,39.7,44.3,5165,Stratovolcano,25,1239,135563,2811646,N,13539,3,1840,,1840,1800s,13539-1.0,1.0,One incident,"A pyroclastic flow at the time of a phreatic eruption and landslide on July 2, 1840 swept over the village of Akory, killing 1900  persons.  Four days later, failure of a landslide-dammed lake destroyed the town of Aralik; fatalities were not explicitly mentioned.",Location of fatalities based on map in Karakhanian (2002) and site of original village.,,1900,PDCs,Residents,Village,,27,QL 1,9.0,,,,"Karakhanian et al 2002,[Kharakhanian et al. (2002]"
221010,"Tair, Jebel at",Yemen,15.55,41.83,244,Stratovolcano,0,0,0,14493,Y,13923,3,2007,,2007,2000s,13923-1.0,1.0,One incident,"Bodies of 4 Yemini Coast Guard personnel were recovered offshore by NATO ships. Reports of three more missing were never resolved to be deaths or survivors, or mistaken reports. No official statements were made by the Yemen military.","Location of fatalities unknow, but island is <5 km across. Cause of death unknown - bodies found offshore.",,4,Eruption (unknown element),(non-eruption AF) Military,,Outside,,QL 2,,5.0,<5,,[GVN Bull 32:10 (2007)]
221100,Dubbi,Eritrea,13.58,41.808,1625,Stratovolcano,0,0,18,14867,N,13937,3,1861,,1861,1800s,13937-1.0,1.0,One incident,"Fatalities occurred during initial explosive phase of eruption. Two villages were destroyed and large herds of cattle were killed.  The agent of fatalities is not clear, but may have been pyroclastic flows.",Location of fatalities unknown: Pyroclastic flow deposits listed to 25 km in Wiart and Oppenheimer (2000) but unclear location of villages destroyed. Distance constrained by flow length.,,106,PDCs,Residents,Villages,,,QL 2,,25.0,<25,,"Wiart and Oppenheimer (2000) Largest known historical eruption in Africa: Dubbi volcano, Eritrea, 1861,[GOUIN 1975 (98)]"
221101,Nabro,Eritrea,13.37,41.7,2218,Stratovolcano,24,145,2713,26881,N,20800,4,2011,,2011,2000s,20800-1.0,1.0,One incident,"According to a report from Ethiopia's Afar Disaster Prevention and Food Security Programs Coordination Office, as of 6 July: ""In Bidu woreda, [the] deaths of 31 persons were reported as a result of the volcano ash."" However, the Agriculture Ministry had no record of casualties. ",Village could not be located.,,31,Tephra,,,,,QL 3,,,,,
221112,Alayta,Ethiopia,12.88,40.57,1501,Shield,156,925,13459,330411,N,13940,2,1907,,1907,1900s,13940-1.0,1.0,One incident,"CAVW reports fatalities from Afdera, but eruption now thought to be from Alayta.",Location of fatalities unknown. ,Unknown,15,Eruption (unknown element),,,,,QL 3,,,,,
221141,Dama Ali,Ethiopia,11.28,41.63,1068,Shield,24,1944,40013,353949,N,13947,Unknown,1631,,1631,1600s,13947-1.0,1.0,One incident,Believed 50 deaths occurred when village of Waraba was destroyed by earthquake. Site of this eruption uncertain.,Location of fatalities unknown - village could not be identified. Uncertain if earthquake was volcanogenic.,,50,Seismicity - uncertain eruptive,,Village,,,QL 3,,,,,
222170,Kyejo,Tanzania,-9.23,33.78,2175,Stratovolcano,2259,38428,378511,2263665,N,14035,2,1800,,1800,1800s,14035-1.0,1.0,One incident,Oral history records an eruption about 1800 AD in which lava engulfed villages whose inhabitants were still asleep.,"Exact location of fatalities unknown. Villages not named, however lavas described as 8km long from Sarabwe and Fiteko scoria cones upper NW flank (Fontijin et al. 2010), flow visible on satellite images and map of Crabtree and Chesworth (1992)",Unknown,15,Lava flows,Residents,Villages,Inside,29,QL 2,,8.0,<8,,"Crabtree and Chesworth (1992) Rift Related Magmatism and the Petrogenesis of Lavas from the Kiejo Eruptive, Rungwe Volcanic Province, S.W. Tanzania, Preceedings of the International Conferences on Basement Tectonics, 1, 71-82; Fontijn et al (2010),[]"
